speaker1,speaker2,line_count,scene_count,word_count
AUNT EM,DOROTHY,24,7,280
AUNT EM,HICKORY,6,1,111
AUNT EM,UNCLE HENRY,7,2,67
BARRISTER,MAYOR,11,3,73
DOROTHY,GLINDA,33,10,564
DOROTHY,HICKORY,12,2,197
DOROTHY,HUNK,7,2,114
DOROTHY,LION,60,23,617
DOROTHY,MISS GULCH,8,3,106
DOROTHY,OZ'S VOICE,16,6,161
DOROTHY,PROFESSOR,43,12,429
DOROTHY,SCARECROW,80,26,805
DOROTHY,TIN MAN,61,23,556
DOROTHY,TIN MAN -- SCARECROW AND DOROTHY,9,1,30
DOROTHY,WITCH,15,5,164
DOROTHY,WIZARD,12,4,163
GLINDA,WITCH,10,4,146
LION,SCARECROW,35,12,279
LION,TIN MAN,33,14,240
LION,WIZARD,8,3,72
MISS GULCH,UNCLE HENRY,10,2,56
OZ'S VOICE,TIN MAN,8,3,51
SCARECROW,TIN MAN,70,27,581
SCARECROW,WIZARD,15,5,219
TIN MAN,WIZARD,8,3,92
