speaker1,speaker2,line_count,scene_count,word_count
BOSS'S DISABLED BROTHER,TED,9,1,80
DETECTIVE CAVALLO,TED,9,4,106
DOM,MARY,15,4,181
DOM,TED,113,27,1410
DR. LALONDE,TED,11,3,97
FRIEND #1,TED,9,4,76
HEALY,MAGDA,12,5,144
HEALY,MARY,113,32,1209
HEALY,SULLY,50,16,545
HEALY,TED,91,20,1037
HEALY,TUCKER,67,17,686
HITCHHIKER,TED,20,2,278
JOANIE,MARY,18,6,309
MAGDA,MARY,54,16,659
MARY,TED,124,40,1226
MARY,TUCKER,36,15,617
MARY'S DAD,TED,23,8,197
MARY'S MOM,TED,9,3,76
POLICE OFFICER,TED,11,4,93
RENISE,TED,10,3,96
TED,WARREN,13,6,58
