speaker1,speaker2,line_count,scene_count,word_count
BAILEY,DOC,12,5,154
BEHAN,JOSEPHINE,17,5,236
BEHAN,WYATT,11,3,161
BILLY,WYATT,9,3,92
CURLY BILL,RINGO,11,5,155
CURLY BILL,WYATT,21,7,312
DAKE,WYATT,7,1,141
DOC,HIGH ROLLER,6,1,38
DOC,KATE,18,7,232
DOC,RINGO,19,6,147
DOC,VERMILLION,13,4,111
DOC,WYATT,66,18,925
HIGH ROLLER,WYATT,7,1,90
JOHNSON,VERMILLION,14,7,171
JOHNSON,WYATT,22,9,261
JOSEPHINE,WYATT,67,14,831
JOYCE,WYATT,9,3,162
MATTIE,WYATT,34,9,500
MCMASTERS,RINGO,9,1,81
MCMASTERS,WYATT,27,10,371
MORGAN,WYATT,47,16,763
TYLER,WYATT,11,3,110
VERMILLION,WYATT,10,5,164
VIRGIL,WYATT,46,16,853
WHITE,WYATT,9,3,135
