speaker1,speaker2,line_count,scene_count,word_count
ADMIRAL ROEBUCK,M,9,4,108
ADMIRAL ROEBUCK,MINISTER JOHNSTONE,9,3,221
BOND,CAPTAIN CHEONG,11,1,145
BOND,CAPTAIN MORTON,11,3,164
BOND,DOMINIQUE,16,4,77
BOND,HARMSWAY,53,19,838
BOND,JENNY WU,13,4,77
BOND,M,32,13,376
BOND,MINISTER JOHNSTONE,8,3,165
BOND,MONEYPENNY,17,6,232
BOND,PARIS,24,9,259
BOND,Q,15,3,242
BOND,SAUNDERS,24,7,265
BOND,SIDNEY,91,28,837
BOND,WADE,34,11,331
CAPTAIN MORTON,SIDNEY,17,4,159
EXECUTIVE SECRETARY,HARMSWAY,10,1,77
FIRST OFFICER,HELMSMAN,10,4,125
HARMSWAY,NUMBER THREE,10,4,122
HARMSWAY,SIDNEY,12,5,114
HARMSWAY,STAMPER,13,5,117
HARMSWAY,YUNG,14,6,175
M,TANNER,15,5,86
