speaker1,speaker2,line_count,scene_count,word_count
CHARLIE,MAVERICK,241,49,2266
CHP,MAVERICK,18,5,81
COUGAR,GOOSE,31,8,256
COUGAR,MAVERICK,13,5,113
FUNGUS,MAVERICK,58,17,387
GIRL,WOLFMAN,8,2,68
GOOSE,HOLLYWOOD,10,3,111
GOOSE,ICE,8,2,84
GOOSE,MAVERICK,55,23,523
GOOSE,SLIDER,20,6,204
GOOSE,STINGER,11,5,168
HOLLYWOOD,WOLFMAN,16,6,149
ICE,MAVERICK,31,10,236
ICEMAN,MAVERICK,9,1,60
JESTER,VIPER,17,6,161
MAVERICK,STINGER,10,4,160
MAVERICK,VIPER,62,15,956
MAVERICK,WIZARD,7,2,84
MAVERICK,WOLFMAN,9,4,43
