speaker1,speaker2,line_count,scene_count,word_count
A.D.A. KELLY,ROBERT,11,3,167
ANNA,JAVIER,18,6,185
ARNIE,CARLOS,15,3,197
ARNIE,HELENA,44,14,849
BARBARA,CAROLINE,16,5,229
BARBARA,ROBERT,46,11,597
CARL,HELENA,15,4,289
CAROLINE,ROBERT,17,6,231
CAROLINE,SETH,18,6,214
CAROLINE,SOCIAL WORKER,18,2,110
CASTRO,GORDON,30,10,341
CLERK,ROBERT,8,1,71
DAVID,HELENA,9,3,49
FRANCISCO,HELENA,12,3,161
GORDON,RUIZ,26,8,570
GUARD,SALAZAR,7,1,43
HELENA,MARQUEZ,29,7,412
JAVIER,JOHNSON,11,3,71
JAVIER,MANOLO,28,9,345
JAVIER,ROBERT,8,2,107
JAVIER,SALAZAR,20,6,214
MICHAEL,ROBERT,10,1,187
OFFICIAL,ROBERT,9,1,387
ROBERT,SALAZAR,9,2,237
ROBERT,SETH,19,4,432
ROBERT,SHERIDAN,10,3,289
ROBERT,SKETCH,9,2,98
ROBERT,SPECIAL-AGENT-IN-CHARGE,8,3,145
SETH,VANESSA,6,1,78
