speaker1,speaker2,line_count,scene_count,word_count
ANYA,BRETT,17,8,121
ANYA,LOTHER,41,9,563
ANYA,SALLY,7,2,108
ANYA,SUMMERS,15,6,156
BALLINGER,MCKINNEY,7,1,40
BRETT,DENBY,25,7,329
BRETT,LOTHER,23,11,250
BRETT,MCKINNEY,48,15,585
BRETT,SALLY,130,24,1007
BRETT,SHORTIE,84,21,816
BRETT,SUMMERS,17,7,147
DAN,DENBY,29,7,221
DAN,MARY,7,2,89
DAN,SHORTIE,34,7,289
DENBY,LOTHER,7,1,65
DENBY,MARY,39,7,435
DENBY,MCKINNEY,25,6,282
DENBY,NED,9,2,122
DENBY,SALLY,43,7,489
LOTHER,SALLY,32,7,436
LOTHER,SUMMERS,17,5,203
MCKINNEY,NED,9,2,78
MCKINNEY,PURSER,10,3,73
MCKINNEY,SALLY,20,5,260
NED,SALLY,11,3,87
SHORTIE,STEWARD,12,3,75
