speaker1,speaker2,line_count,scene_count,word_count
ALABAMA,CLARENCE,222,47,3431
ALABAMA,DICK,23,10,160
BIG D,DREXL,12,5,145
BIG D,FLOYD,8,3,100
CLARENCE,CLIFF,47,8,979
CLARENCE,CUSTOMER,8,2,170
CLARENCE,DICK,95,24,1180
CLARENCE,DREXL,10,3,269
CLARENCE,ELLIOT,43,12,750
CLARENCE,ELVIS,28,3,430
CLARENCE,LEE,31,10,640
CLARENCE,LUCY,13,2,113
CLIFF,COCCOTTI,24,5,662
CLIFF,WILSON,10,1,207
DICK,RAVENCROFT,15,4,153
DIMES,KRINKLE,12,3,148
DIMES,NICHOLSON,41,11,682
DREXL,FLOYD,16,6,332
DREXL,MARTY,13,5,296
ELLIOT,KANDI,14,2,108
FLOYD,LENNY,9,1,35
FLOYD,VIRGIL,11,1,123
LENNY,MARVIN,7,2,80
