speaker1,speaker2,line_count,scene_count,word_count
ALBERT,COOPER,14,1,232
BOB'S VOICE,LAURA,13,4,106
BOBBY,LAURA,34,9,326
CABLE,DESMOND,17,4,273
CARL,COOPER,15,4,187
CARL,DESMOND,15,5,203
CLIFF,DESMOND,11,4,124
COLE,COOPER,12,5,88
COLE,DESMOND,14,4,154
COOPER,MAN FROM ANOTHER PLACE,6,1,44
COOPER,STANLEY,14,3,141
DESMOND,IRENE,20,5,262
DESMOND,JACK,13,1,89
DESMOND,STANLEY,72,21,836
DONNA,LAURA,92,21,932
ED,PETE,15,4,128
HAROLD,LAURA,19,5,212
JACOBY,LAURA,9,1,100
JACQUES,LAURA,12,3,143
JAMES,LAURA,47,7,333
JERRY,LELAND,13,2,80
JOSIE,TRUMAN,12,2,340
LAURA,LELAND,37,10,276
LAURA,SARAH,24,8,223
LELAND,SARAH,17,7,175
LELAND,TERESA,9,3,50
LEO,SHELLY,8,2,155
NORMA,SHELLY,11,3,108
