speaker1,speaker2,line_count,scene_count,word_count
ABRAMS,GALVIN,7,1,32
ALITO,BISHOP,16,2,273
ALITO,YOUNG LAWYER,8,1,51
BISHOP,GALVIN,12,2,241
CLAIRE,GALVIN,17,5,180
CONCANNON,DR. THOMPSON,29,2,266
CONCANNON,DR. TOWLER,40,6,328
CONCANNON,GALVIN,9,3,59
CONCANNON,JUDGE,15,6,337
CONCANNON,KATHY,32,3,464
DONEGHY,GALVIN,21,6,448
DR. THOMPSON,GALVIN,24,5,320
DR. THOMPSON,JUDGE,7,2,61
DR. THOMPSON,MICKEY,16,2,219
DR. TOWLER,GALVIN,11,2,180
GALVIN,GRUBER,34,10,452
GALVIN,JIMMY,8,3,103
GALVIN,JUDGE,49,13,881
GALVIN,KATHY,32,6,197
GALVIN,LAURA,81,12,863
GALVIN,MAID,9,2,114
GALVIN,MARY ROONEY,23,2,360
GALVIN,MICKEY,109,24,1442
GALVIN,ROONEY,8,1,55
GALVIN,SALLY,25,5,387
GALVIN,TOWLER,24,2,204
GALVIN,VOICE,28,3,221
LAURA,MICKEY,14,2,369
