speaker1,speaker2,line_count,scene_count,word_count
ADAM,BOYD,105,28,1250
ADAM,FISHER,34,10,563
ADAM,LOIS,11,3,64
ADAM,MICHEAL,51,14,393
ADAM,MOORE,12,6,93
ADAM,SUIT,7,1,28
BARRY MORRIS,LIZ,11,4,94
BOYD,FISHER,106,28,1224
BOYD,LOIS,12,3,101
BOYD,MICHEAL,63,16,731
BOYD,MOORE,26,13,195
BOYD,RALPH,23,7,106
FISHER,JUDGE TOWER,9,3,113
FISHER,LIZ,228,27,1683
FISHER,MICHEAL,42,12,618
FISHER,MOORE,41,13,611
FISHER,MR. FISHER,13,2,257
JUDGE TOWER,LIZ,11,3,159
LIZ,LOIS,7,1,47
LIZ,MAGGIE,9,2,102
MICHEAL,MOORE,13,6,103
