speaker1,speaker2,line_count,scene_count,word_count
DON AMALIO,ENEDINA,13,5,98
DON AMALIO,POCA,20,7,160
DON JAIME,RAMONA,21,8,332
DON JAIME,VIRIDIANA,74,26,897
ENEDINA,POCA,8,3,61
FOREMAN,JORGE,13,3,101
HOBBLY,VIRIDIANA,12,5,98
JORGE,LEPER,9,4,99
JORGE,LUCIA,27,11,249
JORGE,PEASANT,9,3,87
JORGE,RAMONA,12,5,112
JORGE,VIRIDIANA,37,12,404
LEPER,VIRIDIANA,15,5,183
MAYOR,VIRIDIANA,7,1,27
MONCHO,RITA,13,4,84
MONCHO,VIRIDIANA,9,4,67
MOTHER SUPERIOR,VIRIDIANA,21,8,300
PELON,VIRIDIANA,8,3,83
POCA,VIRIDIANA,9,4,104
RAMONA,VIRIDIANA,9,3,57
RITA,VIRIDIANA,12,5,65
