speaker1,speaker2,line_count,scene_count,word_count
AIDE,BREAN,15,3,211
AMES,BREAN,193,44,2140
AMES,MOSS,79,24,1016
AMES,MR. YOUNG,11,2,248
ANGLE,MOSS,14,7,276
ANGLE,PRESIDENT,16,5,446
ANGLE,SCHUMANN,9,4,112
BREAN,CAIN,16,5,163
BREAN,FAD KING,12,4,138
BREAN,LEVY,10,3,182
BREAN,MOSS,220,49,3067
BREAN,MR. YOUNG,23,3,495
BREAN,PILOT,8,3,59
ENGINEER,MOSS,9,3,78
FAD KING,LIZ,15,6,135
FAD KING,MOSS,23,10,383
GRACE,MOSS,17,5,216
JOHNNY GREEN,MOSS,8,2,47
JOYCE,SECOND MEDIA GUY,7,2,113
LIZ,MOSS,15,4,104
MOSS,OWNER,7,2,43
MOSS,SCHUMANN,18,6,238
MOSS,TECHNICIAN,6,1,36
MOSS,TRUDY,7,2,35
