speaker1,speaker2,line_count,scene_count,word_count
ALICE,SKIPPER,31,10,239
ALL,RICK,8,2,73
BILL,SANDERS,7,1,36
BILL,SKIPPER,19,7,210
BILL,TOD,8,3,107
CHARLES,CHUCK,12,6,104
CHUCK,JOHN,47,16,606
CHUCK,MIDDY,10,3,70
CHUCK,PHIL,18,6,117
CHUCK,RICK,8,2,81
CHUCK,ROBIN,45,15,412
CHUCK,SKIPPER,37,15,292
CHUCK,TOD,9,3,93
CHUCK,WILL,12,2,130
COMMANDER,SKIPPER,7,2,49
DOWNING,TOD,10,3,94
FRANCIS,PHIL,14,4,163
FRANCIS,SKIPPER,20,8,281
GEORGE,SKIPPER,24,8,294
JOHN,LAWFORD,13,6,175
JOHN,PHIL,13,5,150
JOHN,ROBIN,23,9,174
LAWFORD,SKIPPER,14,6,98
PHIL,RICK,10,4,65
PHIL,ROBIN,14,5,107
PHIL,SKIPPER,16,7,197
ROBIN,SKIPPER,15,5,122
SANDERS,SKIPPER,20,5,206
SKIPPER,TYLER,16,5,190
TERRY,TOD,8,2,111
