speaker1,speaker2,line_count,scene_count,word_count
ARTIE,CALLER #1,7,1,122
BEANY,LULA,10,2,172
BLACK MAN,ERV,7,2,55
BOBBY,LULA,19,5,360
BOBBY,PERDITA,16,4,133
BOBBY,SAILOR,56,12,657
BUCK,SAILOR,8,2,68
CHET,JOHNNIE,16,2,215
DROP SHADOW,JOHNNIE,10,5,114
DROP SHADOW,REGGIE,12,5,110
GEORGE,SAILOR,7,2,211
GOOD WITCH,SAILOR,6,1,77
IDIOT PUNK,SAILOR,7,2,105
JOHNNIE,MARIETTA,51,10,1037
JOHNNIE,REGGIE,26,11,366
LULA,MARIETTA,39,5,489
LULA,PACE,21,6,260
LULA,REPORTER,8,3,198
LULA,SAILOR,379,88,6175
MANAGER,MARIETTA,7,2,100
MARIETTA,SAILOR,15,3,184
MARIETTA,SANTOS,75,7,675
PERDITA,SAILOR,18,1,181
