speaker1,speaker2,line_count,scene_count,word_count
ART,SAM,12,4,212
BARBARA,SAM,13,4,111
DAVE,RAY,8,2,79
GLORIA,HUNTER,8,3,144
GLORIA,KELLY,21,3,332
GLORIA,RAY,69,26,1272
GLORIA,RUBY,21,6,367
GLORIA,SAM,18,7,281
GLORIA,SUZIE,19,5,126
HUNTER,RAY,24,9,522
HUNTER,SUZIE,18,6,226
JIMMY,RAY,8,2,72
JIMMY,SAM,10,4,84
KELLY,RAY,12,5,135
KELLY,SAM,62,20,784
KELLY,SANDRA,24,8,173
KELLY,SUZIE,19,7,226
KEN,SAM,23,6,412
RAY,SAM,34,10,478
RAY,SANDRA,9,3,79
RAY,SUZIE,30,10,319
SAM,SANDRA,19,5,192
SAM,SUZIE,28,11,405
