speaker1,speaker2,line_count,scene_count,word_count
CRABTREE,GRADY,170,44,1549
CRABTREE,JAMES LEER,23,8,262
CRABTREE,VERNON,7,2,109
GOATEE KID,GRADY,10,2,148
GRADY,GREENHUT,25,3,258
GRADY,HANK,22,6,270
GRADY,HANNAH GREEN,57,18,833
GRADY,JAMES LEER,261,71,2861
GRADY,MISS SLOVIAK,30,10,287
GRADY,OFFICER PUPCIK,14,3,145
GRADY,SARA,129,35,1094
GRADY,SARA'S VOICE,18,4,140
GRADY,TRAXLER,20,9,137
GRADY,VERNON,23,8,182
GRADY,VERNON HARDAPPLE,7,1,29
GRADY,WALTER'S VOICE,18,3,84
HANNAH GREEN,JAMES LEER,9,4,191
SARA,WALTER,7,1,79
