speaker1,speaker2,line_count,scene_count,word_count
"""salman""",kramer,8,1,70
2nd movie patron,george,7,1,62
2nd movie patron,movie patron,0,1,6
aaron,announcement,7,1,101
aaron,elaine,51,5,431
aaron,helen,50,5,395
aaron,jerry,47,4,347
aaron,joanne,2,1,20
aaron,kramer,10,1,66
aaron,morty,54,5,500
abby,cynthia,8,1,54
abby,george,17,2,205
abby,jerry,50,4,398
abby,kramer,6,1,41
ada,george,4,1,11
adam,elaine,25,1,281
adam,estelle,13,1,118
adam,frank,19,1,240
adam,george,25,1,287
adam,jerry,36,1,356
adam,kramer,20,1,193
adam,lloyd,9,1,101
adam,mr. lippman,11,1,115
adam,patty,20,1,150
ade,applicant,2,1,53
ade,george,34,4,472
aent,elaine,3,1,39
agency rep,george,3,1,48
agency rep,jerry,15,2,145
agency rep,kramer,10,1,106
agency rep,newman,12,1,100
agency rep,ron,12,1,101
agency rep,tim,8,1,98
agent,elaine,6,1,110
al,george,20,1,189
al,jerry,19,1,139
al roker,elaine,3,1,20
al roker,jerry,3,1,16
alan,carol,6,1,33
alan,elaine,23,4,187
alan,george,10,1,81
alan,woman s08e10,4,1,41
alec,elaine,15,1,124
alec,george,20,2,254
alec,jerry,35,3,396
alec,joey,7,1,89
alex,george,11,1,144
alex,jerry,25,4,228
alex,kramer,17,3,181
alex,man #2 s08e21,2,1,22
alex,man s08e21,10,2,84
alex,tape player,2,1,18
alex trebek,george,10,4,78
alex trebek,jerry,13,4,151
alex trebek,katie,3,1,24
alex trebek,kramer,3,1,18
alicia,elaine,9,1,68
alicia,george,11,1,53
alicia,jerry,21,1,126
alicia,kramer,5,1,36
alison,elaine,5,1,21
alison,glenn,4,1,18
allbright,doctor s08e13,3,1,29
allison,charles,4,1,18
allison,cheryl,3,1,11
allison,donald,4,1,17
allison,elaine,4,1,18
allison,george,36,5,290
allison,jerry,16,2,72
allison,john,4,1,19
allison,kramer,7,2,30
allison,marla,4,1,18
allison,mel,3,1,6
allison,michael,6,1,39
allison,mother,3,1,10
allison,ping,4,1,13
allison,sharon,2,1,9
allison,sid,3,1,21
allison,susan,10,2,29
allison,the drake,3,1,17
allison (season 4),george,3,1,23
allison (season 4),kramer,3,1,14
allison (season 8),george,13,2,123
allison (season 8),kramer,7,2,84
allison from play now,co-worker,2,1,9
allison from play now,george,5,1,21
allison from play now,glenn,2,1,10
alton,benes,2,1,13
alton,elaine,19,1,319
alton,george,57,8,481
alton,jerry,49,6,431
alton,manager,4,1,20
amanda,george,12,2,153
amanda,kramer,4,1,33
amanda,man #3 s08e03,6,1,38
amanda,model #1,3,1,23
amanda,model #2,3,1,23
amanda,model #3,3,1,29
amy,elaine,8,1,72
amy,george,12,1,111
amy,jerry,68,4,520
amy,uncle leo,20,1,199
angela,jerry,10,2,97
angry man,cop #1,9,1,105
angry man,cop #2,7,1,74
angry man,elaine,27,1,301
angry man,george,49,1,475
angry man,jerry,38,1,295
angry man,kramer,19,1,129
angry man,maryedith,12,1,84
angry man,matthew,15,1,128
angry man,mike,19,1,205
angry man,newman,15,1,127
angry man,sheila,9,1,82
angry man,sid,7,1,96
angry man,truck driver,6,1,66
anna,elaine,39,6,359
anna,george,36,6,231
announcement,elaine,8,1,25
announcement,helen,4,1,35
announcement,jerry,8,1,30
announcement,morty,6,1,33
announcer,announcer #2,3,1,74
announcer,corbin bernsen,2,1,135
announcer,elaine,10,3,92
announcer,george,16,2,132
announcer,jerry,32,5,292
announcer,joel,8,2,64
announcer,kernis,2,1,13
announcer,kramer,9,2,110
announcer,lanette,5,1,17
announcer,lotus,2,1,20
announcer,man s08e22,2,1,13
announcer,misha,3,1,42
announcer,mr. graham,2,1,23
announcer,ronnie,4,1,56
announcer,ruby,3,1,26
announcer #1,announcer #2,9,2,98
announcer #1,george,4,1,33
announcer #1,jerry,6,1,47
announcer #1,kramer,3,1,27
announcer #2,george,4,1,33
announcer #2,jerry,6,1,47
announcer #2,kramer,5,2,55
announcer on p.a. system,elaine,8,1,98
announcer on p.a. system,hot dog vendor,2,1,40
announcer on p.a. system,jerry,8,1,67
announcer on tv,guy on phone,3,1,57
announcer on tv,jerry,7,1,77
announcer on tv,kramer,7,1,59
another man,elaine,7,1,35
another man,jerry,8,1,66
another man,kramer,8,1,52
another man,man s06e09,2,1,17
answering machine,george,9,1,73
answering machine,jerry,14,1,120
answering machine,sophie,5,1,37
antonio,ed,8,2,172
antonio,elaine,4,1,132
antonio,george,13,2,309
antonio,kramer,9,1,62
applicant,george,4,1,104
arnie,beth,3,1,34
arnie,elaine,14,2,147
aronson,beck,6,1,60
aronson,elaine,9,1,86
artie,carol,5,1,36
artie,elaine,9,1,64
artie,jerry,11,1,116
assistant,driver,10,1,74
assistant,george,11,1,90
assistant,jerry,10,1,70
assistant,kramer,8,1,48
assistant dresser,elaine,3,1,9
assistant dresser,george,3,1,44
assistant dresser,jay,3,1,12
assistant dresser,jerry,5,1,34
assistant dresser,michael,5,1,36
assistant dresser,rita,4,1,12
assistant dresser,sandi,4,1,28
assistant dresser,stu,4,1,38
assistant dresser,wilton,4,1,27
attendant,captain,3,1,47
attendant,doctor s08e05,4,1,56
attendant,dr. burke,2,1,14
attendant,elaine,47,7,611
attendant,george,32,3,350
attendant,hooker,7,1,78
attendant,jerry,42,7,388
attendant,kramer,43,5,472
attendant,lloyd,9,1,80
attendant,newman,3,1,33
attendant,passenger #1,7,1,72
attendant,passenger #2,5,1,52
attendant,passenger #3,5,1,43
attendant,tia,16,4,130
attendant #1,attendant #2,4,1,53
attendant #1,driver,3,1,15
attendant #1,elaine,33,1,194
attendant #1,gavin,7,1,56
attendant #1,jerry,44,2,467
attendant #1,passenger #1,4,1,41
attendant #1,skycap,10,1,65
attendant #1,tia,3,1,20
attendant #1,ticket lady,5,1,59
attendant #2,gavin,7,1,67
attendant #2,jerry,7,1,50
auctioneer,elaine,16,1,222
auctioneer,jerry,12,1,194
auctioneer,sue ellen,15,1,194
audrey,elaine,47,4,314
audrey,george,70,5,660
audrey,health inspector,10,1,67
audrey,jerry,61,7,371
audrey,kramer,30,3,306
audrey,poppie,22,3,115
aunt may,betsy,7,1,58
aunt may,father jessup,7,1,59
aunt may,george,8,1,100
ava,dan,2,1,14
ava,elaine,35,2,307
ava,ellen,6,1,37
ava,george,49,3,508
ava,guy s03e10,13,1,118
ava,jerry,57,2,385
ava,levitan,10,1,135
ava,woman s03e10,6,1,50
babs,clotworthy,3,1,7
babs,george,2,1,2
babs,kramer,17,4,130
babs,landis,3,1,6
babs,newman,11,2,75
babu,babu's friend,3,1,108
babu,cheryl,7,1,68
babu,elaine,81,6,575
babu,george,21,1,335
babu,jerry,142,10,1397
babu,kramer,35,2,487
babu's brother,elaine,7,1,54
babu's brother,george,6,1,44
babu's brother,jerry,11,1,78
bailiff,bubble boy,3,1,38
bailiff,chiles,11,4,234
bailiff,choate,6,1,37
bailiff,elaine,2,1,6
bailiff,foreman,3,1,12
bailiff,frank,2,1,13
bailiff,george,11,4,76
bailiff,hoyt,41,5,468
bailiff,jerry,12,4,62
bailiff,kramer,2,1,17
bailiff,mr. pitt,2,1,11
bailiff,mr. sanger,2,1,10
bailiff,mr. steinbrenner,4,1,51
bailiff,penny,11,1,67
bailiff,peterman,2,1,8
bailiff,soup nazi,4,1,15
bailiff,vandelay,15,4,178
bailiff,vogel,4,1,23
bania,club announcer,5,2,50
bania,customer,2,1,12
bania,donna,5,1,40
bania,eddie,5,1,51
bania,elaine,37,6,306
bania,frank,5,1,56
bania,george,52,5,398
bania,jay,4,1,65
bania,jenna,4,1,35
bania,jerry,193,22,1728
bania,kelly,19,2,188
bania,kramer,77,7,632
bania,monk's manager,4,1,62
bania,simon,7,2,105
bania,soup nazi,2,1,46
bania,stu,4,1,64
bania,waiter s06e07,13,1,124
bania,waitress s06e07,6,1,71
bania,woman s08e06,5,1,63
bank employee,kramer,3,1,54
banker,danny tartabull,7,1,39
banker,elaine,12,1,58
banker,george,8,1,85
banker,jerry,11,1,56
banker,kramer,4,1,30
banker,nana,4,1,35
barbara,clerk,10,1,68
barbara,david,9,1,68
barbara,elaine,15,1,170
barbara,jane,2,1,7
barbara,jerry,10,1,71
barbara,jim,4,1,33
barbara,kramer,7,1,46
barbara,manager,13,1,104
barbara,mike,2,1,7
barbara,some guy,2,1,8
barney's sales associate,elaine,19,3,186
barney's sales associate,kramer,7,2,69
barry,bartender,4,1,15
barry,elaine,16,1,88
barry,george,10,1,54
barry,jerry,18,1,123
barry,kramer,21,2,153
bartender,george,3,1,49
bartender,jerry,6,1,75
bartender,kramer,11,2,124
bartender,mary anne,4,1,29
beck,elaine,7,1,76
becky,jerry,16,2,150
ben,carol,9,3,76
ben,elaine,60,9,497
ben,george,15,3,255
ben,jerry,3,1,14
ben,kramer,2,1,15
ben,sue ellen,9,1,55
ben,woman s08e09,7,1,34
benes,george,2,1,19
benes,jerry,2,1,18
beth,david,9,2,53
beth,elaine,30,5,271
