speaker1,speaker2,line_count,scene_count,word_count
abby,girl s03e12,6,1,36
abby,martha,7,1,38
abby,raj,20,1,143
abby,sheldon,22,1,185
actor,amy,3,1,8
actor,leonard,4,1,11
actor,penny,5,1,91
actor,sheldon,5,1,37
actress,leonard,6,1,32
actress,penny,10,1,53
adam,amy,10,2,118
adam,bernadette,3,1,46
adam,beverly,4,1,54
adam,howard,12,2,188
adam,kripke,4,1,55
adam,leonard,47,6,428
adam,leslie,8,1,93
adam,penny,35,4,323
adam,raj,13,3,187
adam,sheldon,66,5,1111
adam,stephen hawking,8,1,56
adam,stuart,3,1,48
adam,wil,21,4,199
air force officer,bernadette,8,1,54
air force officer,howard,10,1,73
air force officer,raj,16,1,62
alex,amy,32,2,285
alex,howard,11,1,76
alex,leonard,75,5,650
alex,penny,20,2,196
alex,raj,30,3,259
alex,sheldon,114,10,1523
alfred,amy,47,7,389
alfred,bernadette,11,1,112
alfred,beverly,58,7,450
alfred,howard,4,1,39
alfred,leonard,77,8,714
alfred,mrs cooper,68,8,581
alfred,penny,35,4,318
alfred,randall,4,1,35
alfred,sheldon,70,8,761
alfred,stuart,9,1,72
alfred,susan,4,1,39
alfred,wyatt,4,1,40
alice,hot girl,10,1,77
alice,howard,7,1,61
alice,leonard,40,3,382
alice,raj,6,1,40
alice,sheldon,7,1,81
alice,stuart,10,1,89
alicia,blonde girl,11,1,22
alicia,howard,23,3,231
alicia,leonard,50,5,330
alicia,penny,77,5,857
alicia,raj,9,1,86
alicia,sheldon,45,3,381
amelia,cooper,8,1,111
amelia,leonard,8,1,66
amelia,penny,7,1,62
amy,arthur,9,1,85
amy,bernadette,2132,258,22607
amy,bert,154,18,1401
amy,bespectacled man,7,1,49
amy,beverly,82,12,790
amy,claire,10,3,73
amy,dave,100,6,1137
amy,doctor,6,1,41
amy,dr koothrappali,26,4,258
amy,dr lorvis,30,5,242
amy,emily,46,8,459
amy,fat leonard,5,1,22
amy,fat raj,2,1,18
amy,fat stuart,2,1,11
amy,girl dressed as a witch,3,1,16
amy,glenn,10,2,67
amy,greene,10,1,217
amy,hernandez,4,1,50
