speaker1,speaker2,line_count,scene_count,word_count
alex,amy,32,2,285
alex,howard,11,1,76
alex,leonard,80,5,728
alex,penny,24,2,211
alex,raj,30,3,259
alex,sheldon,114,10,1523
alfred,amy,47,7,389
alfred,bernadette,11,1,112
alfred,beverly,58,7,450
alfred,howard,4,1,39
alfred,leonard,77,8,714
alfred,mrs cooper,68,8,581
alfred,penny,35,4,318
alfred,sheldon,70,8,761
alfred,stuart,9,1,72
amy,arthur,9,1,85
amy,bernadette,2146,258,22717
amy,bert,154,18,1401
amy,beverly,82,12,790
amy,dave,100,7,1137
amy,dr koothrappali,26,4,258
amy,emily,46,8,459
amy,howard,1089,151,11293
amy,kripke,71,8,739
amy,leonard,2283,279,21722
amy,leslie,9,1,126
amy,lucy,16,2,153
amy,mike,19,4,160
amy,mrs cooper,120,16,1150
amy,mrs wolowitz,15,4,116
amy,penny,3694,414,38483
amy,priya,27,3,187
amy,raj,1290,173,14801
amy,ramona,10,1,37
amy,sheldon,5412,505,68738
amy,stuart,338,51,3263
amy,wil,50,4,634
amy,zack,58,7,608
arthur,howard,14,1,110
arthur,leonard,110,8,1169
arthur,penny,62,5,612
arthur,raj,12,1,97
arthur,sheldon,235,15,2823
bernadette,beverly,49,7,523
bernadette,dave,38,2,404
bernadette,dr koothrappali,18,3,228
bernadette,emily,101,13,758
bernadette,howard,3737,404,38431
bernadette,kripke,11,3,89
bernadette,leonard,1321,175,11816
bernadette,leslie,7,1,81
bernadette,lucy,14,1,88
bernadette,mike,84,12,787
bernadette,mrs cooper,16,3,184
bernadette,mrs wolowitz,193,27,1900
bernadette,penny,2682,303,27061
bernadette,priya,89,11,773
bernadette,raj,1810,239,19252
bernadette,ramona,15,3,125
bernadette,sheldon,1334,155,16801
bernadette,stuart,598,82,5797
bernadette,wil,2,1,74
bernadette,zack,23,3,247
bert,howard,45,7,394
bert,leonard,87,12,850
bert,penny,63,9,649
bert,raj,76,12,740
bert,sheldon,177,19,2382
bert,stuart,23,3,191
beverly,howard,62,5,663
beverly,kripke,4,1,51
beverly,leonard,358,31,3559
beverly,leslie,8,1,89
beverly,mrs cooper,106,11,977
beverly,penny,284,28,3034
beverly,raj,24,3,314
beverly,sheldon,306,25,3436
beverly,stuart,19,3,167
beverly,wil,3,1,82
dave,leonard,34,2,399
dave,penny,35,2,373
dave,sheldon,13,1,248
dr koothrappali,howard,33,4,337
dr koothrappali,leonard,70,6,547
dr koothrappali,mrs wolowitz,4,1,55
dr koothrappali,penny,42,6,450
dr koothrappali,priya,33,3,290
dr koothrappali,raj,188,15,2117
dr koothrappali,sheldon,69,6,751
elizabeth,howard,33,2,296
elizabeth,leonard,87,6,853
elizabeth,penny,21,1,170
elizabeth,raj,34,2,322
elizabeth,sheldon,64,5,826
emily,howard,124,14,1171
emily,leonard,47,8,366
emily,lucy,11,2,141
emily,penny,80,8,789
emily,raj,325,39,3250
emily,sheldon,67,9,849
emily,stuart,19,3,175
gablehauser,howard,77,4,776
gablehauser,leonard,111,6,1049
gablehauser,leslie,41,2,384
gablehauser,mrs cooper,12,1,66
gablehauser,penny,26,1,258
gablehauser,raj,75,4,734
gablehauser,sheldon,138,8,1716
howard,kripke,134,17,1490
howard,leonard,7422,736,73812
howard,leslie,170,13,1571
howard,lucy,21,3,227
howard,mike,246,25,2627
howard,missy,61,7,500
howard,mrs cooper,74,8,1112
howard,mrs wolowitz,583,60,5713
howard,penny,3470,352,35381
howard,priya,162,19,1585
howard,raj,7068,779,77870
howard,ramona,41,5,438
howard,sheldon,7107,664,92923
howard,steph,19,3,193
howard,stuart,815,109,8507
howard,wil,71,12,686
howard,zack,107,12,952
kripke,leonard,258,28,2983
kripke,leslie,8,1,90
kripke,penny,39,6,523
kripke,raj,180,22,2390
kripke,sheldon,469,41,6830
kripke,stuart,31,6,446
kripke,wil,13,3,206
kripke,zack,18,2,215
leonard,leslie,323,22,3014
leonard,mike,58,6,577
