speaker1,speaker2,line_count,scene_count,word_count
3rd Athlead Employee,4th Athlead Employee,2,1,22
3rd Athlead Employee,Athlead Employee,5,1,72
3rd Athlead Employee,Darryl,5,1,100
3rd Athlead Employee,Female Athlead Employee,2,1,11
3rd Athlead Employee,Jim,3,1,30
4th Athlead Employee,Athlead Employee,5,1,80
4th Athlead Employee,Darryl,5,1,108
4th Athlead Employee,Female Athlead Employee,2,1,19
4th Athlead Employee,Jim,3,1,38
AJ,Erin,12,1,69
AJ,Holly,40,5,263
AJ,Kelly,9,1,58
AJ,Kevin,14,2,82
AJ,Man s05e17,8,1,43
AJ,Michael,63,6,643
AJ,Pam,11,1,125
AJ,Woman s05e17,8,1,43
Aaron Rodgers,Andy,14,1,278
Aaron Rodgers,Clay Aiken,6,1,63
Aaron Rodgers,Santigold,8,1,71
Abby,Chet,3,1,12
Abby,Creed,5,1,25
Abby,Darryl,2,1,10
Abby,Dwight,8,3,84
Abby,Edward R. Meow,8,1,67
Abby,Jake,7,3,30
Abby,Jim,21,3,161
Abby,Kevin,4,1,20
Abby,Kids,4,2,15
Abby,Melissa,10,3,57
Abby,Michael,41,4,622
Abby,Miss Trudy,3,1,29
Abby,Oscar,2,1,6
Abby,Pam,7,3,47
Abby,Ryan,4,1,24
Abby,Sasha,3,1,20
Abby,Young Michael,3,1,30
Actor,Actress,2,1,8
Actor,Darryl,6,1,60
Actor,Girl acting Pregnant,2,1,25
Actor,Improv Teacher,9,1,74
Actor,Man in Video,3,1,52
Actor,Michael,13,2,120
Actor,Redheaded Actress,3,1,14
Actor,Roy,6,1,20
Actor,Warehouse guy,3,1,14
Actress,Girl acting Pregnant,2,1,19
Actress,Improv Teacher,9,1,68
Actress,Michael,10,1,87
Ad guy 1,Ad guy 2,15,3,145
Ad guy 1,Michael,25,3,279
Ad guy 2,Michael,20,3,202
Alan,David Wallace,20,4,169
Alan,Dwight,7,2,191
Alan,Female Shareholder,2,1,14
Alan,Fourth Shareholder,2,1,24
Alan,Kelly,4,1,36
Alan,Laurie,2,1,11
Alan,Michael,36,6,480
Alan,O'Keefe,5,1,19
Alan,Pam,15,3,113
Alan,Ryan,3,1,22
Alan,Second Shareholder,2,1,23
Alan,Security,3,1,13
Alan,Shareholder,2,1,17
Alan,Third Shareholder,2,1,30
Albiny,Jan,6,1,66
Albiny,Michael,11,2,119
Alex,Jim,16,2,288
Alex,Pam,23,2,363
