speaker1,speaker2,line_count,word_count,scene_count,season,episode
Angela,Kevin,2,16,1,1,1
Dwight,Jim,23,178,3,1,1
Dwight,Man s01e01,3,14,1,1,1
Dwight,Michael,51,591,6,1,1
Dwight,Oscar,9,73,2,1,1
Dwight,Pam,3,30,1,1,1
Dwight,Phyllis,3,10,1,1,1
Dwight,Ryan,10,104,2,1,1
Dwight,Stanley,6,44,1,1,1
Jan,Michael,28,372,2,1,1
Jan,Pam,11,135,1,1,1
Jan,Todd Packer,5,49,1,1,1
Jim,Michael,23,229,3,1,1
Jim,Pam,38,238,4,1,1
Jim,Roy,13,125,2,1,1
Jim,Ryan,3,27,1,1,1
Man s01e01,Michael,8,143,1,1,1
Man s01e01,Oscar,2,13,1,1,1
Man s01e01,Pam,2,26,1,1,1
Man s01e01,Phyllis,2,6,1,1,1
Man s01e01,Stanley,5,40,1,1,1
Michael,Oscar,15,228,2,1,1
Michael,Pam,61,983,6,1,1
Michael,Phyllis,8,139,1,1,1
Michael,Ryan,33,553,4,1,1
Michael,Stanley,11,173,1,1,1
Michael,Todd Packer,9,85,1,1,1
Oscar,Pam,2,29,1,1,1
Oscar,Phyllis,2,9,1,1,1
Oscar,Stanley,5,43,1,1,1
Pam,Phyllis,2,22,1,1,1
Pam,Roy,11,80,2,1,1
Pam,Ryan,13,73,2,1,1
Pam,Stanley,5,56,1,1,1
Phyllis,Stanley,7,43,2,1,1
Angela,Kevin,8,20,1,1,2
Angela,Michael,5,28,1,1,2
Dwight,Jim,7,119,1,1,2
Dwight,Michael,35,400,3,1,2
Dwight,Mr. Brown,31,464,2,1,2
Dwight,Pam,11,90,1,1,2
Dwight,Stanley,8,62,1,1,2
Jim,Kelly,3,12,1,1,2
Jim,Kevin,3,14,1,1,2
Jim,Michael,26,475,3,1,2
Jim,Mr. Brown,3,28,1,1,2
Jim,Oscar,17,103,2,1,2
Jim,Pam,14,50,2,1,2
Jim,Ryan,9,60,1,1,2
Kelly,Kevin,2,12,1,1,2
Kelly,Michael,19,300,2,1,2
Kelly,Oscar,11,72,1,1,2
Kevin,Michael,33,545,5,1,2
Kevin,Mr. Brown,8,96,2,1,2
Kevin,Oscar,11,74,1,1,2
Kevin,Stanley,3,11,1,1,2
Michael,Mr. Brown,72,923,7,1,2
Michael,Oscar,33,362,2,1,2
Michael,Pam,11,111,1,1,2
Michael,Stanley,14,237,2,1,2
Michael,Toby,5,128,1,1,2
Mr. Brown,Oscar,4,11,1,1,2
Pam,Stanley,9,64,1,1,2
Angela,Dwight,2,9,1,1,3
Angela,Kevin,6,43,2,1,3
Angela,Michael,6,140,1,1,3
Angela,Oscar,10,51,3,1,3
Angela,Pam,2,18,1,1,3
Angela,Stanley,2,13,1,1,3
Dwight,Jan,18,144,1,1,3
Dwight,Jim,62,581,5,1,3
Dwight,Kevin,4,37,1,1,3
Dwight,Meredith,9,130,2,1,3
Dwight,Michael,30,465,4,1,3
Dwight,Oscar,8,41,2,1,3
Dwight,Pam,36,253,4,1,3
Dwight,Ryan,2,13,1,1,3
Dwight,Stanley,16,199,4,1,3
Jan,Michael,17,189,1,1,3
Jim,Michael,10,115,2,1,3
Jim,Pam,44,326,5,1,3
Jim,Stanley,6,15,1,1,3
Kevin,Oscar,9,65,3,1,3
Man on Phone,Michael,7,113,1,1,3
Meredith,Michael,7,127,1,1,3
Meredith,Oscar,3,23,1,1,3
Meredith,Pam,3,26,1,1,3
Meredith,Stanley,3,27,1,1,3
Michael,Oscar,15,270,2,1,3
Michael,Pam,40,555,6,1,3
Michael,Ryan,6,111,1,1,3
Michael,Stanley,13,264,2,1,3
Michael,Travel Agent,3,91,1,1,3
Oscar,Pam,7,47,2,1,3
Oscar,Stanley,3,15,1,1,3
Pam,Stanley,2,23,1,1,3
Ryan,Stanley,3,30,1,1,3
Angela,Meredith,8,81,2,1,4
Angela,Michael,21,355,3,1,4
Angela,Oscar,4,16,1,1,4
Angela,Pam,9,45,3,1,4
Angela,Phyllis,10,73,2,1,4
Dwight,Jim,67,697,14,1,4
Dwight,Michael,24,258,2,1,4
Dwight,Pam,16,190,4,1,4
Dwight,Roy,4,33,1,1,4
Dwight,Stanley,2,34,1,1,4
Jim,Kevin,7,38,2,1,4
Jim,Michael,5,110,1,1,4
Jim,Pam,27,338,4,1,4
Jim,Roy,11,161,1,1,4
Jim,Toby,3,14,1,1,4
Kevin,Toby,2,9,1,1,4
Meredith,Michael,29,406,3,1,4
Meredith,Oscar,8,79,1,1,4
Meredith,Pam,6,72,1,1,4
Meredith,Phyllis,6,72,1,1,4
Meredith,Stanley,5,21,1,1,4
Michael,Oscar,40,564,4,1,4
Michael,Pam,31,540,3,1,4
Michael,Phyllis,13,243,1,1,4
Michael,Ryan,2,44,1,1,4
Michael,Stanley,6,75,1,1,4
Oscar,Pam,4,13,1,1,4
Oscar,Phyllis,4,13,1,1,4
Pam,Phyllis,7,50,2,1,4
Pam,Roy,8,45,1,1,4
Ryan,Toby,6,19,1,1,4
Angela,Darryl,5,20,1,1,5
Angela,Dwight,3,20,1,1,5
Angela,Lonny,5,34,1,1,5
Angela,Michael,17,232,1,1,5
Angela,Roy,3,18,1,1,5
Angela,Worker,7,38,1,1,5
Darryl,Dwight,4,24,1,1,5
Darryl,Jim,2,11,1,1,5
Darryl,Lonny,11,80,3,1,5
Darryl,Madge,2,9,1,1,5
Darryl,Michael,49,657,7,1,5
Darryl,Roy,6,36,2,1,5
Darryl,Ryan,7,47,2,1,5
Darryl,Worker,8,42,1,1,5
Dwight,Jim,19,113,3,1,5
Dwight,Kevin,9,42,1,1,5
Dwight,Lonny,4,38,1,1,5
Dwight,Madge,3,13,1,1,5
Dwight,Michael,84,879,7,1,5
Dwight,Oscar,9,43,1,1,5
Dwight,Pam,6,21,1,1,5
Dwight,Phyllis,12,76,2,1,5
Dwight,Roy,9,68,2,1,5
Dwight,Ryan,12,49,2,1,5
Dwight,Stanley,11,47,1,1,5
Dwight,Warehouse worker,8,32,2,1,5
Dwight,Worker,6,42,1,1,5
