speaker1,speaker2,1,2,3,4,5,6,7,8,9
Andy,Angela,0,0,35,70,244,58,71,140,97
Andy,Bob Vance,0,0,0,0,11,0,0,0,0
Andy,Carol,0,0,7,0,0,0,0,0,0
Andy,Casey,0,0,0,0,0,0,0,0,53
Andy,Cathy,0,0,0,0,0,0,0,7,0
Andy,Charles,0,0,0,0,79,0,0,0,0
Andy,Clark,0,0,0,0,0,0,0,0,154
Andy,Creed,0,0,5,22,59,39,52,73,27
Andy,Danny,0,0,0,0,0,0,13,0,0
Andy,Darryl,0,0,11,26,5,53,311,351,192
Andy,David Wallace,0,0,0,0,8,7,0,49,105
Andy,Deangelo,0,0,0,0,0,0,68,0,0
Andy,Dwight,0,0,223,132,504,335,229,505,244
Andy,Eric,0,0,0,0,0,3,0,0,0
Andy,Erin,0,0,0,0,33,269,264,609,279
Andy,Gabe,0,0,0,0,0,41,129,69,0
Andy,Grotti,0,0,0,0,0,42,0,0,0
Andy,Harry,0,0,0,0,0,0,0,15,0
Andy,Holly,0,0,0,0,40,0,32,0,0
Andy,Host,0,0,0,0,0,0,0,28,0
Andy,Irene,0,0,0,0,0,0,0,34,0
Andy,Jada,0,0,0,0,0,0,9,0,0
Andy,Jan,0,0,2,30,14,0,0,0,26
Andy,Jessica,0,0,0,0,0,0,0,123,0
Andy,Jim,0,0,277,131,289,284,210,533,131
Andy,Jo,0,0,0,0,0,29,0,0,0
Andy,Josh,0,0,24,0,0,0,0,0,0
Andy,Karen,0,0,82,0,0,0,0,0,0
Andy,Kelly,0,0,12,27,43,82,125,159,0
Andy,Kevin,0,0,23,91,93,117,189,349,118
Andy,Meredith,0,0,14,14,51,55,58,177,84
Andy,Michael,0,0,287,220,367,585,383,0,0
Andy,Nate,0,0,0,0,0,0,7,29,0
Andy,Nellie,0,0,0,0,0,0,0,113,129
Andy,Oscar,0,0,15,25,184,102,131,294,134
Andy,Pam,0,0,61,90,95,246,290,319,127
Andy,Pete,0,0,0,0,0,0,0,0,125
Andy,Phyllis,0,0,25,36,85,118,155,237,127
Andy,Robert California,0,0,0,0,0,0,0,398,0
Andy,Ryan,0,0,18,49,24,66,140,100,0
Andy,Senator Lipton,0,0,0,0,0,0,0,7,0
Andy,Stanley,0,0,26,26,102,62,92,186,66
Andy,Susan,0,0,0,0,0,0,0,95,0
Andy,Toby,0,0,0,26,13,7,41,80,68
Andy,Val,0,0,0,0,0,0,0,60,0
Andy,Walter,0,0,0,0,0,0,0,54,0
Angela,Ben Franklin,0,0,5,0,0,0,0,0,0
Angela,Bob Vance,0,0,0,0,11,0,0,0,0
Angela,Cathy,0,0,0,0,0,0,0,5,0
Angela,Charles,0,0,0,0,46,0,0,0,0
Angela,Clark,0,0,0,0,0,0,0,0,28
Angela,Creed,0,4,14,13,31,29,16,9,34
Angela,Darryl,0,0,5,9,2,10,50,27,19
Angela,David Wallace,0,0,0,0,4,0,0,0,0
Angela,Deangelo,0,0,0,0,0,0,42,0,0
Angela,Donna,0,0,0,0,0,4,0,0,0
Angela,Dwight,13,178,121,173,234,218,165,125,382
Angela,Eric,0,0,0,0,0,3,0,0,0
Angela,Erin,0,0,0,0,9,32,44,53,91
Angela,Esther,0,0,0,0,0,0,0,0,13
Angela,Gabe,0,0,0,0,0,6,20,12,0
Angela,Holly,0,0,0,0,30,0,20,0,0
Angela,Isabel,0,0,0,0,0,26,0,0,0
Angela,Jada,0,0,0,0,0,0,3,0,0
Angela,Jan,0,15,14,47,16,0,0,0,0
Angela,Jessica,0,0,0,0,0,0,0,4,0
Angela,Jim,0,56,26,56,104,152,95,65,81
Angela,Karen,0,0,76,0,0,0,0,0,0
Angela,Katy,11,0,0,0,0,0,0,0,0
Angela,Kelly,0,26,51,17,46,25,48,54,0
Angela,Kevin,16,52,111,23,125,82,120,92,229
Angela,Meredith,0,12,39,17,55,48,44,10,73
Angela,Michael,49,200,227,180,246,234,213,0,0
Angela,Nellie,0,0,0,0,0,0,0,25,87
Angela,Oscar,14,66,50,15,101,69,90,123,355
Angela,Pam,11,96,122,83,51,97,134,144,147
Angela,Pete,0,0,0,0,0,0,0,0,27
Angela,Phyllis,0,60,58,42,62,72,56,57,75
Angela,Robert California,0,0,0,0,0,0,0,13,0
Angela,Roy,3,5,7,0,0,0,0,0,0
Angela,Ryan,0,10,17,0,4,17,29,24,0
