speaker1,speaker2,1,2,3,4,5,6,7,8,9
Andy,Angela,0,0,7,16,37,13,19,25,16
Andy,Bob Vance,0,0,0,0,1,0,0,0,0
Andy,Carol,0,0,1,0,0,0,0,0,0
Andy,Casey,0,0,0,0,0,0,0,0,6
Andy,Cathy,0,0,0,0,0,0,0,3,0
Andy,Charles,0,0,0,0,12,0,0,0,0
Andy,Clark,0,0,0,0,0,0,0,0,21
Andy,Creed,0,0,2,6,9,9,10,13,8
Andy,Danny,0,0,0,0,0,0,1,0,0
Andy,Darryl,0,0,1,4,2,8,47,47,30
Andy,David Wallace,0,0,0,0,2,1,0,5,11
Andy,Deangelo,0,0,0,0,0,0,14,0,0
Andy,Dwight,0,0,38,21,57,57,39,69,30
Andy,Eric,0,0,0,0,0,1,0,0,0
Andy,Erin,0,0,0,0,6,45,45,85,40
Andy,Gabe,0,0,0,0,0,6,20,10,0
Andy,Grotti,0,0,0,0,0,6,0,0,0
Andy,Harry,0,0,0,0,0,0,0,2,0
Andy,Holly,0,0,0,0,5,0,4,0,0
Andy,Host,0,0,0,0,0,0,0,5,0
Andy,Irene,0,0,0,0,0,0,0,6,0
Andy,Jada,0,0,0,0,0,0,2,0,0
Andy,Jan,0,0,1,4,2,0,0,0,1
Andy,Jessica,0,0,0,0,0,0,0,12,0
Andy,Jim,0,0,45,24,43,45,41,69,21
Andy,Jo,0,0,0,0,0,3,0,0,0
Andy,Josh,0,0,4,0,0,0,0,0,0
Andy,Karen,0,0,18,0,0,0,0,0,0
Andy,Kelly,0,0,3,6,8,14,25,25,0
Andy,Kevin,0,0,6,19,22,28,38,57,24
Andy,Meredith,0,0,4,3,13,15,15,25,16
Andy,Michael,0,0,41,26,33,68,46,0,0
Andy,Nate,0,0,0,0,0,0,1,3,0
Andy,Nellie,0,0,0,0,0,0,0,14,21
Andy,Oscar,0,0,5,10,25,24,26,45,24
Andy,Pam,0,0,14,20,18,40,48,49,25
Andy,Pete,0,0,0,0,0,0,0,0,17
Andy,Phyllis,0,0,7,10,21,34,34,39,24
Andy,Robert California,0,0,0,0,0,0,0,52,0
Andy,Ryan,0,0,5,5,4,14,24,18,0
Andy,Senator Lipton,0,0,0,0,0,0,0,1,0
Andy,Stanley,0,0,5,8,26,21,21,32,15
Andy,Susan,0,0,0,0,0,0,0,11,0
Andy,Toby,0,0,0,7,2,2,6,10,10
Andy,Val,0,0,0,0,0,0,0,9,0
Andy,Walter,0,0,0,0,0,0,0,6,0
Angela,Ben Franklin,0,0,1,0,0,0,0,0,0
Angela,Bob Vance,0,0,0,0,1,0,0,0,0
Angela,Cathy,0,0,0,0,0,0,0,2,0
Angela,Charles,0,0,0,0,8,0,0,0,0
Angela,Clark,0,0,0,0,0,0,0,0,8
Angela,Creed,0,1,5,4,6,10,5,4,9
Angela,Darryl,0,0,1,2,1,2,10,9,5
Angela,David Wallace,0,0,0,0,1,0,0,0,0
Angela,Deangelo,0,0,0,0,0,0,5,0,0
Angela,Donna,0,0,0,0,0,1,0,0,0
Angela,Dwight,3,31,31,27,37,41,31,21,54
Angela,Eric,0,0,0,0,0,1,0,0,0
Angela,Erin,0,0,0,0,2,9,16,13,20
Angela,Esther,0,0,0,0,0,0,0,0,3
Angela,Gabe,0,0,0,0,0,2,8,4,0
Angela,Holly,0,0,0,0,4,0,3,0,0
Angela,Isabel,0,0,0,0,0,3,0,0,0
Angela,Jada,0,0,0,0,0,0,1,0,0
Angela,Jan,0,3,1,7,3,0,0,0,0
Angela,Jessica,0,0,0,0,0,0,0,1,0
Angela,Jim,0,10,7,12,18,26,20,13,17
Angela,Karen,0,0,15,0,0,0,0,0,0
Angela,Katy,1,0,0,0,0,0,0,0,0
Angela,Kelly,0,6,11,5,15,8,15,13,0
Angela,Kevin,4,15,26,7,26,23,28,21,45
Angela,Meredith,0,4,11,2,14,13,13,4,19
Angela,Michael,6,28,37,21,25,28,22,0,0
Angela,Nellie,0,0,0,0,0,0,0,6,20
Angela,Oscar,4,16,12,6,21,19,21,30,59
Angela,Pam,4,20,27,19,10,16,26,28,32
Angela,Pete,0,0,0,0,0,0,0,0,7
Angela,Phyllis,0,17,15,12,15,23,18,17,21
Angela,Robert California,0,0,0,0,0,0,0,5,0
Angela,Roy,1,1,2,0,0,0,0,0,0
Angela,Ryan,0,3,6,0,2,5,8,5,0
Angela,Senator Lipton,0,0,0,0,0,0,0,10,0
Angela,Stanley,1,7,6,4,9,8,12,7,18
Angela,Susan,0,0,0,0,0,0,0,1,0
Angela,Toby,0,8,4,4,3,3,6,7,4
Angela,Todd Packer,0,0,0,0,0,0,1,0,0
Angela,Trevor,0,0,0,0,0,0,0,0,5
Angela,Val,0,0,0,0,0,0,0,4,0
Ben Franklin,Dwight,0,0,2,0,0,0,0,0,0
Ben Franklin,Karen,0,0,2,0,0,0,0,0,0
Ben Franklin,Meredith,0,0,1,0,0,0,0,0,0
Ben Franklin,Michael,0,0,3,0,0,0,0,0,0
Ben Franklin,Pam,0,0,4,0,0,0,0,0,0
Bob Vance,David Wallace,0,0,0,0,2,0,0,0,0
Bob Vance,Dwight,0,0,0,0,3,0,0,0,0
Bob Vance,Jim,0,0,0,0,3,0,0,0,0
Bob Vance,Michael,0,0,0,0,3,0,0,0,0
Bob Vance,Oscar,0,0,0,0,1,0,0,0,0
