speaker1,speaker2,1,2,3,4,5,6,7,8,9
Andy,Angela,0,0,295,829,2217,428,669,1323,1162
Andy,Bob Vance,0,0,0,0,32,0,0,0,0
Andy,Carol,0,0,32,0,0,0,0,0,0
Andy,Casey,0,0,0,0,0,0,0,0,473
Andy,Cathy,0,0,0,0,0,0,0,35,0
Andy,Charles,0,0,0,0,748,0,0,0,0
Andy,Clark,0,0,0,0,0,0,0,0,1857
Andy,Creed,0,0,52,186,515,262,544,887,196
Andy,Danny,0,0,0,0,0,0,73,0,0
Andy,Darryl,0,0,113,311,42,491,2983,4208,2178
Andy,David Wallace,0,0,0,0,29,186,0,528,1191
Andy,Deangelo,0,0,0,0,0,0,926,0,0
Andy,Dwight,0,0,2013,1205,4797,3116,2372,6152,2786
Andy,Eric,0,0,0,0,0,16,0,0,0
Andy,Erin,0,0,0,0,225,2550,2162,6365,3180
Andy,Gabe,0,0,0,0,0,583,1376,762,0
Andy,Grotti,0,0,0,0,0,479,0,0,0
Andy,Harry,0,0,0,0,0,0,0,155,0
Andy,Holly,0,0,0,0,520,0,280,0,0
Andy,Host,0,0,0,0,0,0,0,386,0
Andy,Irene,0,0,0,0,0,0,0,403,0
Andy,Jada,0,0,0,0,0,0,108,0,0
Andy,Jan,0,0,34,224,120,0,0,0,249
Andy,Jessica,0,0,0,0,0,0,0,1011,0
Andy,Jim,0,0,2165,1297,2428,2937,2140,6628,1400
Andy,Jo,0,0,0,0,0,376,0,0,0
Andy,Josh,0,0,175,0,0,0,0,0,0
Andy,Karen,0,0,628,0,0,0,0,0,0
Andy,Kelly,0,0,101,207,362,822,1285,1844,0
Andy,Kevin,0,0,131,656,772,1100,1815,3667,1301
Andy,Meredith,0,0,82,84,401,454,532,1968,877
Andy,Michael,0,0,4046,2879,3902,6965,5066,0,0
Andy,Nate,0,0,0,0,0,0,75,559,0
Andy,Nellie,0,0,0,0,0,0,0,1146,1589
Andy,Oscar,0,0,103,206,1404,1160,1257,3325,1572
Andy,Pam,0,0,544,793,870,2474,3145,3360,1172
Andy,Pete,0,0,0,0,0,0,0,0,1304
Andy,Phyllis,0,0,206,306,721,1212,1438,2794,1217
Andy,Robert California,0,0,0,0,0,0,0,5178,0
Andy,Ryan,0,0,168,490,268,670,1411,1332,0
Andy,Senator Lipton,0,0,0,0,0,0,0,115,0
Andy,Stanley,0,0,202,234,923,650,761,2216,732
Andy,Susan,0,0,0,0,0,0,0,866,0
Andy,Toby,0,0,0,285,165,37,361,1191,789
Andy,Val,0,0,0,0,0,0,0,515,0
Andy,Walter,0,0,0,0,0,0,0,581,0
Angela,Ben Franklin,0,0,50,0,0,0,0,0,0
Angela,Bob Vance,0,0,0,0,26,0,0,0,0
Angela,Cathy,0,0,0,0,0,0,0,31,0
Angela,Charles,0,0,0,0,493,0,0,0,0
Angela,Clark,0,0,0,0,0,0,0,0,217
Angela,Creed,0,28,188,119,219,260,108,72,234
Angela,Darryl,0,0,72,50,13,135,375,192,183
Angela,David Wallace,0,0,0,0,8,0,0,0,0
Angela,Deangelo,0,0,0,0,0,0,539,0,0
Angela,Donna,0,0,0,0,0,27,0,0,0
Angela,Dwight,112,1257,1153,1489,2228,1847,1393,1281,3763
Angela,Eric,0,0,0,0,0,15,0,0,0
Angela,Erin,0,0,0,0,83,253,320,415,934
Angela,Esther,0,0,0,0,0,0,0,0,127
Angela,Gabe,0,0,0,0,0,91,192,117,0
Angela,Holly,0,0,0,0,445,0,126,0,0
Angela,Isabel,0,0,0,0,0,188,0,0,0
Angela,Jada,0,0,0,0,0,0,65,0,0
Angela,Jan,0,118,109,508,154,0,0,0,0
Angela,Jessica,0,0,0,0,0,0,0,21,0
Angela,Jim,0,347,242,594,796,1416,937,718,826
Angela,Karen,0,0,722,0,0,0,0,0,0
Angela,Katy,84,0,0,0,0,0,0,0,0
Angela,Kelly,0,201,594,102,451,167,519,493,0
Angela,Kevin,79,354,872,217,1246,556,1087,764,2040
Angela,Meredith,0,88,339,129,543,332,465,78,645
Angela,Michael,755,2889,3360,2449,3083,3109,2802,0,0
