speaker1,speaker2,line_count,scene_count,word_count
Andy,Angela,244,37,2105.0
Andy,Charles,79,12,713.0
Andy,Creed,49,8,440.0
Andy,Darryl,5,2,42.0
Andy,David Wallace,8,2,27.0
Andy,Dwight,501,57,4485.0
Andy,Erin,31,6,183.0
Andy,Holly,40,5,498.0
Andy,Jan,14,2,112.0
Andy,Jim,289,43,2269.0
Andy,Kelly,43,8,341.0
Andy,Kevin,93,22,725.0
Andy,Meredith,51,13,383.0
Andy,Michael,367,33,3724.0
Andy,Oscar,184,25,1320.0
Andy,Pam,95,18,808.0
Andy,Phyllis,84,21,677.0
Andy,Ryan,24,4,256.0
Andy,Stanley,102,26,876.0
Andy,Toby,12,2,130.0
Angela,Charles,45,8,457.0
Angela,Creed,23,5,176.0
Angela,Darryl,2,1,12.0
Angela,David Wallace,4,1,8.0
Angela,Dwight,234,37,2124.0
Angela,Erin,9,2,81.0
Angela,Holly,30,4,426.0
Angela,Jan,16,3,145.0
Angela,Jim,104,18,756.0
Angela,Kelly,44,15,388.0
Angela,Kevin,125,26,1185.0
Angela,Meredith,55,14,515.0
Angela,Michael,246,25,2970.0
Angela,Oscar,101,21,933.0
Angela,Pam,51,10,333.0
Angela,Phyllis,61,15,488.0
Angela,Ryan,4,2,98.0
Angela,Stanley,34,9,186.0
Angela,Toby,9,3,112.0
Charles,David Wallace,70,10,668.0
Charles,Dwight,181,23,1745.0
Charles,Erin,11,2,53.0
Charles,Jim,239,27,1875.0
Charles,Kelly,37,6,351.0
Charles,Kevin,61,8,565.0
Charles,Michael,224,20,2578.0
Charles,Oscar,24,2,242.0
Charles,Pam,97,13,658.0
Charles,Phyllis,19,4,139.0
Charles,Ryan,9,3,48.0
Charles,Stanley,46,5,489.0
Charles,Toby,3,1,16.0
Creed,Darryl,4,1,20.0
Creed,David Wallace,7,1,109.0
Creed,Dwight,76,12,489.0
Creed,Holly,2,1,7.0
Creed,Jan,7,1,68.0
Creed,Jim,80,17,585.0
Creed,Kelly,20,6,118.0
Creed,Kevin,22,8,138.0
Creed,Meredith,20,7,132.0
Creed,Michael,85,15,1187.0
Creed,Oscar,32,12,202.0
Creed,Pam,21,5,117.0
Creed,Phyllis,23,8,135.0
Creed,Ryan,2,1,7.0
Creed,Stanley,24,9,134.0
Creed,Toby,2,1,15.0
Darryl,Dwight,28,7,171.0
Darryl,Holly,57,11,340.0
Darryl,Jim,21,4,92.0
Darryl,Kelly,2,1,22.0
Darryl,Kevin,6,2,38.0
Darryl,Meredith,2,1,9.0
Darryl,Michael,159,21,1688.0
Darryl,Oscar,6,2,32.0
Darryl,Pam,4,1,32.0
Darryl,Phyllis,6,2,46.0
Darryl,Ryan,3,1,12.0
Darryl,Stanley,4,1,25.0
Darryl,Toby,14,1,134.0
David Wallace,Dwight,136,17,1270.0
David Wallace,Holly,16,2,232.0
David Wallace,Jim,34,5,372.0
David Wallace,Kelly,10,1,94.0
David Wallace,Kevin,10,1,94.0
David Wallace,Michael,312,30,3579.0
David Wallace,Oscar,3,1,24.0
David Wallace,Pam,54,6,507.0
David Wallace,Phyllis,16,3,141.0
David Wallace,Ryan,25,4,265.0
David Wallace,Stanley,3,1,10.0
David Wallace,Toby,3,1,22.0
Dwight,Erin,53,7,475.0
Dwight,Holly,67,8,650.0
Dwight,Jan,10,3,63.0
Dwight,Jim,758,90,6124.0
Dwight,Kelly,138,20,1284.0
Dwight,Kevin,145,26,1212.0
Dwight,Meredith,110,21,964.0
Dwight,Michael,1324,116,13615.0
Dwight,Oscar,172,29,1508.0
Dwight,Pam,292,40,2449.0
Dwight,Phyllis,259,46,2327.0
Dwight,Ryan,79,11,624.0
Dwight,Stanley,181,28,1400.0
Dwight,Toby,77,10,649.0
Erin,Jim,5,2,13.0
Erin,Kelly,8,3,69.0
Erin,Kevin,4,2,29.0
Erin,Meredith,2,1,11.0
Erin,Michael,91,8,946.0
Erin,Oscar,13,4,82.0
Erin,Pam,32,4,206.0
Erin,Phyllis,8,3,52.0
Erin,Stanley,6,2,41.0
Erin,Toby,4,1,23.0
Holly,Jan,16,3,100.0
Holly,Jim,57,7,497.0
Holly,Kelly,22,2,364.0
Holly,Kevin,39,5,447.0
Holly,Meredith,46,4,615.0
Holly,Michael,428,48,4327.0
Holly,Oscar,47,6,577.0
Holly,Pam,5,1,24.0
Holly,Phyllis,21,2,351.0
Holly,Ryan,28,3,471.0
Holly,Stanley,21,2,360.0
Jan,Jim,5,1,13.0
Jan,Kelly,9,2,87.0
Jan,Kevin,12,2,98.0
Jan,Michael,58,8,643.0
Jan,Oscar,12,3,90.0
Jan,Stanley,6,1,61.0
Jim,Kelly,125,19,1044.0
Jim,Kevin,159,30,1198.0
Jim,Meredith,58,12,421.0
Jim,Michael,817,79,8465.0
Jim,Oscar,138,24,1055.0
Jim,Pam,705,102,5426.0
Jim,Phyllis,100,25,654.0
Jim,Ryan,53,7,572.0
Jim,Stanley,99,20,658.0
Jim,Toby,16,4,141.0
Karen,Michael,43,4,633.0
Karen,Pam,30,3,171.0
Kelly,Kevin,46,13,401.0
Kelly,Meredith,41,8,302.0
Kelly,Michael,189,23,2628.0
Kelly,Oscar,46,14,347.0
Kelly,Pam,21,5,165.0
Kelly,Phyllis,35,10,276.0
Kelly,Ryan,71,11,691.0
Kelly,Stanley,22,6,153.0
Kelly,Toby,14,4,97.0
Kevin,Meredith,63,16,393.0
Kevin,Michael,332,32,3702.0
Kevin,Oscar,109,29,899.0
Kevin,Pam,91,18,600.0
Kevin,Phyllis,50,16,310.0
Kevin,Ryan,13,4,128.0
Kevin,Stanley,57,15,353.0
Kevin,Toby,7,3,78.0
Meredith,Michael,208,23,2659.0
Meredith,Oscar,57,15,407.0
Meredith,Pam,23,8,157.0
Meredith,Phyllis,32,10,222.0
Meredith,Ryan,8,2,134.0
Meredith,Stanley,35,9,227.0
Meredith,Toby,23,4,196.0
Michael,Oscar,419,44,4968.0
Michael,Pam,1000,107,10217.0
Michael,Phyllis,273,30,3447.0
Michael,Ryan,350,43,3795.0
Michael,Stanley,269,28,2974.0
Michael,Toby,117,11,1366.0
Oscar,Pam,88,16,646.0
Oscar,Phyllis,52,14,415.0
Oscar,Ryan,11,3,132.0
Oscar,Stanley,48,14,339.0
Oscar,Toby,16,4,162.0
Pam,Phyllis,67,18,419.0
Pam,Ryan,194,32,1489.0
