speaker1,speaker2,line_count,scene_count
Andy,Angela,97,16
Andy,Casey,51,5
Andy,Clark,154,21
Andy,Creed,27,8
Andy,Darryl,192,30
Andy,David Wallace,105,11
Andy,Dwight,244,30
Andy,Erin,279,40
Andy,Gabe,19,1
Andy,Group,31,5
Andy,Jan,26,1
Andy,Jim,131,21
Andy,Kevin,117,24
Andy,Meredith,84,16
Andy,Nellie,128,21
Andy,Oscar,134,24
Andy,Pam,126,25
Andy,Pete,125,17
Andy,Phyllis,126,24
Andy,Stanley,65,15
Andy,Toby,68,10
Angela,Clark,28,8
Angela,Creed,34,9
Angela,Darryl,19,5
Angela,Dwight,381,54
Angela,Erin,91,20
Angela,Esther,13,3
Angela,Group,20,6
Angela,Jim,81,17
Angela,Kevin,226,45
Angela,Meredith,73,19
Angela,Nellie,87,20
Angela,Oscar,349,59
Angela,Pam,147,32
Angela,Pete,27,7
Angela,Phyllis,74,21
Angela,Stanley,56,18
Angela,Toby,25,4
Angela,Trevor,41,5
Brian,Creed,6,1
Brian,Erin,9,1
Brian,Jim,36,3
Brian,Meredith,16,2
Brian,Pam,117,8
Clark,Creed,8,3
Clark,Darryl,47,12
Clark,David Wallace,19,3
Clark,Dwight,354,47
Clark,Erin,63,13
Clark,Esther,10,1
Clark,Group,5,1
Clark,Jan,7,1
Clark,Jim,115,14
Clark,Kevin,48,12
Clark,Meredith,28,9
Clark,Nellie,22,5
Clark,Oscar,34,11
Clark,Pam,93,15
Clark,Pete,66,13
Clark,Phyllis,32,10
Clark,Stanley,39,11
Clark,Toby,15,3
Creed,Darryl,7,2
Creed,David Wallace,10,2
Creed,Dwight,68,13
Creed,Erin,47,11
Creed,Esther,2,1
Creed,Gabe,4,1
Creed,Group,5,1
Creed,Jim,51,9
Creed,Kevin,47,12
Creed,Meredith,32,10
Creed,Nellie,42,10
Creed,Oscar,36,9
Creed,Pam,85,13
Creed,Pete,21,6
Creed,Phyllis,40,12
Creed,Stanley,20,7
Creed,Toby,2,1
Darryl,Dwight,141,27
Darryl,Erin,67,14
Darryl,Group,5,2
Darryl,Jim,247,30
Darryl,Kevin,57,14
Darryl,Meredith,50,12
Darryl,Nellie,62,15
Darryl,Oscar,52,13
Darryl,Pam,81,15
Darryl,Pete,25,6
Darryl,Phyllis,51,11
Darryl,Stanley,21,7
Darryl,Toby,24,6
David Wallace,Dwight,101,9
David Wallace,Erin,16,5
David Wallace,Esther,3,1
David Wallace,Jim,59,8
David Wallace,Kevin,12,2
David Wallace,Meredith,4,1
David Wallace,Nellie,4,1
David Wallace,Oscar,4,2
David Wallace,Pam,17,3
David Wallace,Pete,2,1
David Wallace,Phyllis,13,2
David Wallace,Toby,5,1
Dwight,Erin,193,33
Dwight,Esther,67,10
Dwight,Group,24,6
Dwight,Jan,50,3
Dwight,Jim,545,73
Dwight,Kevin,179,31
Dwight,Meredith,147,28
Dwight,Nellie,254,40
Dwight,Oscar,218,41
Dwight,Pam,449,65
Dwight,Pete,39,11
Dwight,Phyllis,151,25
Dwight,Stanley,113,22
Dwight,Toby,65,9
Dwight,Trevor,76,9
Erin,Esther,4,1
Erin,Gabe,40,3
Erin,Group,9,4
Erin,Jim,75,13
Erin,Kevin,107,24
Erin,Meredith,95,23
Erin,Nellie,113,28
Erin,Oscar,70,17
Erin,Pam,158,29
Erin,Pete,266,46
Erin,Phyllis,78,22
Erin,Stanley,46,14
Erin,Toby,13,3
Esther,Group,3,1
Esther,Jim,6,1
Esther,Nellie,14,3
Esther,Oscar,6,1
Gabe,Kevin,4,1
Gabe,Meredith,3,1
Gabe,Pete,28,2
Group,Jim,17,3
Group,Kevin,23,2
Group,Meredith,12,4
Group,Nellie,11,4
Group,Oscar,27,7
Group,Pam,32,7
Group,Pete,3,1
Group,Phyllis,12,4
Group,Stanley,12,3
Group,Toby,2,1
Jan,Pam,43,3
Jim,Kevin,116,21
Jim,Meredith,97,17
Jim,Nellie,40,12
Jim,Oscar,87,19
Jim,Pam,758,99
Jim,Pete,40,6
Jim,Phyllis,103,20
Jim,Stanley,85,18
Jim,Toby,37,6
Jim,Trevor,8,1
Kevin,Meredith,79,22
Kevin,Nellie,130,28
Kevin,Oscar,221,44
Kevin,Pam,112,22
Kevin,Pete,69,13
Kevin,Phyllis,97,27
Kevin,Stanley,56,15
Kevin,Toby,25,5
Kevin,Trevor,4,1
Mark,Pam,36,4
Meredith,Nellie,59,18
Meredith,Oscar,86,22
Meredith,Pam,170,34
Meredith,Pete,40,12
Meredith,Phyllis,80,21
Meredith,Stanley,39,15
Meredith,Toby,14,3
Meredith,Trevor,2,1
Nellie,Oscar,52,14
Nellie,Pam,169,30
Nellie,Pete,60,15
Nellie,Phyllis,77,19
Nellie,Stanley,53,15
Nellie,Toby,91,13
Oscar,Pam,110,25
Oscar,Pete,31,10
Oscar,Phyllis,93,28
Oscar,Stanley,56,17
Oscar,Toby,38,9
Oscar,Trevor,17,3
Pam,Pete,35,8
Pam,Phyllis,112,22
Pam,Stanley,63,19
Pam,Toby,28,7
Pete,Phyllis,7,3
Pete,Stanley,17,5
Pete,Toby,14,3
Phyllis,Stanley,89,26
Phyllis,Toby,12,3
Stanley,Toby,13,4
