season,episode,title,viewership,show
1,1,Pilot,11.2,the_office
1,2,Diversity Day,6.0,the_office
1,3,Health Care,5.8,the_office
1,4,The Alliance,5.4,the_office
1,5,Basketball,5.0,the_office
1,6,Hot Girl,4.8,the_office
2,1,The Dundies,9.0,the_office
2,2,Sexual Harassment,7.13,the_office
2,3,Office Olympics,8.3,the_office
2,4,The Fire,7.6,the_office
2,5,Halloween,8.0,the_office
2,6,The Fight,7.9,the_office
2,7,The Client,7.5,the_office
2,8,Performance Review,8.0,the_office
2,9,E-Mail Surveillance,8.1,the_office
2,10,Christmas Party,9.7,the_office
2,11,Booze Cruise,8.7,the_office
2,12,The Injury,10.3,the_office
2,13,The Secret,8.7,the_office
2,14,The Carpet,8.6,the_office
2,15,Boys and Girls,5.42,the_office
2,16,Valentine's Day,8.95,the_office
2,17,Dwight's Speech,8.4,the_office
2,18,Take Your Daughter to Work Day,8.8,the_office
2,19,Michael's Birthday,7.8,the_office
2,20,Drug Testing,7.8,the_office
2,21,Conflict Resolution,7.4,the_office
2,22,Casino Night,7.6,the_office
3,1,Gay Witch Hunt,9.11,the_office
3,2,The Convention,7.78,the_office
3,3,The Coup,8.89,the_office
3,4,Grief Counseling,8.83,the_office
3,5,Initiation,8.46,the_office
3,6,Diwali,8.81,the_office
3,7,Branch Closing,8.05,the_office
3,8,The Merger,8.63,the_office
3,9,The Convict,9.07,the_office
3,10,A Benihana Christmas,8.44,the_office
3,11,Back from Vacation,8.8,the_office
3,12,Traveling Salesmen,10.12,the_office
3,13,The Return,10.2,the_office
3,14,Ben Franklin,10.11,the_office
3,15,Phyllis' Wedding,8.84,the_office
3,16,Business School,8.84,the_office
3,17,Cocktails,8.3,the_office
3,18,The Negotiation,6.74,the_office
3,19,Safety Training,7.71,the_office
3,20,Product Recall,7.56,the_office
3,21,Women's Appreciation,7.0,the_office
3,22,Beach Games,7.2,the_office
3,23,The Job,7.88,the_office
4,1,Fun Run,9.7,the_office
4,2,Dunder Mifflin Infinity,8.49,the_office
4,3,Launch Party,8.91,the_office
4,4,Money,8.5,the_office
4,5,Local Ad,8.98,the_office
4,6,Branch Wars,8.39,the_office
4,7,Survivor Man,8.29,the_office
4,8,The Deposition,8.86,the_office
4,9,Dinner Party,9.22,the_office
4,10,Chair Model,9.81,the_office
4,11,Night Out,7.56,the_office
4,12,Did I Stutter?,7.67,the_office
4,13,Job Fair,7.22,the_office
4,14,"Goodbye, Toby",8.07,the_office
5,1,Weight Loss,9.2,the_office
5,2,Business Ethics,8.99,the_office
5,3,Baby Shower,8.07,the_office
5,4,Crime Aid,7.74,the_office
5,5,Employee Transfer,9.32,the_office
5,6,Customer Survey,8.35,the_office
5,7,Business Trip,8.18,the_office
5,8,Frame Toby,8.4,the_office
5,9,The Surplus,8.33,the_office
5,10,Moroccan Christmas,8.79,the_office
5,11,The Duel,8.5,the_office
5,12,Prince Family Paper,8.74,the_office
5,13,Stress Relief,22.91,the_office
5,14,Lecture Circuit: Part 1,8.39,the_office
5,15,Lecture Circuit: Part 2,8.89,the_office
5,16,Blood Drive,8.63,the_office
5,17,Golden Ticket,7.51,the_office
5,18,New Boss,7.95,the_office
5,19,Two Weeks,8.45,the_office
5,20,Dream Team,7.2,the_office
5,21,Michael Scott Paper Company,7.94,the_office
5,22,Heavy Competition,8.24,the_office
5,23,Broke,7.21,the_office
5,24,Casual Friday,7.31,the_office
5,25,Cafe Disco,7.71,the_office
5,26,Company Picnic,6.72,the_office
6,1,Gossip,8.2,the_office
6,2,The Meeting,7.33,the_office
6,3,The Promotion,7.28,the_office
6,4,Niagara: Part 1,9.42,the_office
6,5,Niagara: Part 2,9.42,the_office
6,6,Mafia,8.1,the_office
6,7,The Lover,8.52,the_office
6,8,Koi Pond,8.2,the_office
6,9,Double Date,7.94,the_office
6,10,Murder,7.76,the_office
6,11,Shareholder Meeting,7.43,the_office
6,12,Scott's Tots,8.1,the_office
6,13,Secret Santa,8.51,the_office
6,14,The Banker,7.29,the_office
6,15,Sabre,7.36,the_office
6,16,Manager and Salesman,7.4,the_office
6,17,The Delivery: Part 1,9.0,the_office
6,18,The Delivery: Part 2,9.0,the_office
6,19,St. Patrick's Day,7.51,the_office
6,20,New Leads,7.63,the_office
6,21,Happy Hour,7.17,the_office
6,22,Secretary's Day,6.3,the_office
6,23,Body Language,7.01,the_office
6,24,The Cover-Up,6.84,the_office
6,25,The Chump,6.6,the_office
6,26,Whistleblower,6.6,the_office
7,1,Nepotism,8.4,the_office
7,2,Counseling,7.36,the_office
7,3,Andy's Play,6.95,the_office
7,4,Sex Ed,7.36,the_office
7,5,The Sting,6.87,the_office
7,6,Costume Contest,8.07,the_office
7,7,Christening,7.65,the_office
7,8,Viewing Party,7.15,the_office
7,9,WUPHF.com,7.28,the_office
7,10,China,7.31,the_office
7,11,Classy Christmas,7.18,the_office
7,12,Ultimatum,8.26,the_office
7,13,The Seminar,7.93,the_office
7,14,The Search,7.29,the_office
7,15,PDA,6.9,the_office
7,16,Threat Level Midnight,6.41,the_office
7,17,Todd Packer,6.12,the_office
7,18,Garage Sale,7.07,the_office
7,19,Training Day,7.87,the_office
7,20,Michael's Last Dundies,6.85,the_office
7,21,"Goodbye, Michael",8.42,the_office
7,22,The Inner Circle,6.9,the_office
7,23,"Dwight K. Schrute, (Acting) Manager",6.45,the_office
7,24,Search Committee,7.29,the_office
8,1,The List,7.64,the_office
8,2,The Incentive,6.7,the_office
8,3,Lotto,5.82,the_office
8,4,Garden Party,6.08,the_office
8,5,Spooked,5.53,the_office
8,6,Doomsday,6.15,the_office
8,7,Pam's Replacement,5.96,the_office
8,8,Gettysburg,5.5,the_office
8,9,Mrs. California,5.71,the_office
8,10,Christmas Wishes,5.79,the_office
8,11,Trivia,5.9,the_office
8,12,Pool Party,6.02,the_office
8,13,Jury Duty,5.31,the_office
8,14,Special Project,5.19,the_office
8,15,Tallahassee,4.38,the_office
8,16,After Hours,5.02,the_office
8,17,Test the Store,4.95,the_office
8,18,Last Day in Florida,4.89,the_office
8,19,Get the Girl,4.87,the_office
8,20,Welcome Party,4.39,the_office
8,21,Angry Andy,4.35,the_office
8,22,Fundraiser,4.17,the_office
8,23,Turf War,4.44,the_office
8,24,Free Family Portrait Studio,4.49,the_office
9,1,New Guys,4.28,the_office
9,2,Roy's Wedding,4.13,the_office
9,3,Andy's Ancestry,4.14,the_office
9,4,Work Bus,4.28,the_office
9,5,Here Comes Treble,4.0,the_office
9,6,The Boat,4.83,the_office
9,7,The Whale,4.16,the_office
9,8,The Target,3.88,the_office
9,9,Dwight Christmas,4.16,the_office
9,10,Lice,4.54,the_office
9,11,Suit Warehouse,4.15,the_office
9,12,Customer Loyalty,4.19,the_office
9,13,Junior Salesman,4.45,the_office
9,14,Vandalism,3.97,the_office
9,15,Couples Discount,4.15,the_office
9,16,Moving On,4.06,the_office
9,17,The Farm,3.54,the_office
9,18,Promos,3.44,the_office
9,19,Stairmageddon,3.83,the_office
9,20,Paper Airplane,3.25,the_office
9,21,Livin' the Dream,3.51,the_office
9,22,A.A.R.M.,4.56,the_office
9,23,Finale,5.69,the_office
1,1,"Good News, Bad News",15.4,seinfeld
1,2,The Stakeout,22.5,seinfeld
1,3,The Robbery,19.7,seinfeld
1,4,Male Unbonding,19.1,seinfeld
1,5,The Stock Tip,19.4,seinfeld
2,1,The Ex-Girlfriend,15.6,seinfeld
2,2,The Pony Remark,15.2,seinfeld
2,3,The Jacket,14.8,seinfeld
